排名,feature,中文名稱,SHAP值,佔比,頻率次數,累積%
1,swap_sum,一鍵買賣總額,0.240622,5.83%,9088,5.83%
2,tx_interval_median,交易間隔中位數,0.240563,5.83%,14089,11.65%
3,account_age_days,帳號年齡（天）,0.233933,5.67%,7613,17.32%
4,crypto_wit_sum,虛幣提領總額（台幣）,0.206535,5.00%,4131,22.32%
5,weekend_tx_ratio,週末交易佔比,0.143737,3.48%,6444,25.80%
6,career_freq,職業類別頻率,0.138909,3.36%,7340,29.17%
7,ip_night_ratio,深夜操作比例,0.128089,3.10%,4450,32.27%
8,twd_net_flow,法幣淨流入金額,0.127581,3.09%,183,35.36%
9,tx_interval_mean,交易間隔平均值,0.10759,2.61%,1424,37.96%
10,reg_hour,註冊時段,0.10046,2.43%,1565,40.40%
11,twd_dep_sum,法幣入金總額,0.095968,2.32%,0,42.72%
12,crypto_dep_count,虛幣入金次數,0.084645,2.05%,187,44.77%
13,crypto_dep_mean,虛幣入金均值,0.083637,2.03%,1642,46.80%
14,crypto_wit_max,虛幣提領最大值,0.081447,1.97%,0,48.77%
15,tx_interval_min,交易最短間隔,0.07855,1.90%,80,50.67%
16,swap_count,一鍵買賣次數,0.074076,1.79%,3,52.46%
17,is_app_user,APP 用戶,0.072886,1.77%,706,54.23%
18,crypto_wit_mean,虛幣提領均值,0.06769,1.64%,2,55.87%
19,crypto_dep_max,虛幣入金最大值,0.063709,1.54%,43,57.41%
20,kyc_speed_sec,KYC 完成速度（秒）,0.062074,1.50%,1385,58.92%
