排名,feature,中文名稱,SHAP值,佔比,頻率次數,累積%
1,swap_sum,一鍵買賣總額,0.329026,8.45%,578,8.45%
2,crypto_wit_sum,虛幣提領總額（台幣）,0.281252,7.22%,394,15.68%
3,account_age_days,帳號年齡（天）,0.213902,5.49%,137,21.17%
4,tx_interval_median,交易間隔中位數,0.196554,5.05%,147,26.22%
5,twd_dep_sum,法幣入金總額,0.125559,3.23%,0,29.45%
6,ip_night_ratio,深夜操作比例,0.111238,2.86%,16,32.30%
7,crypto_wit_max,虛幣提領最大值,0.101289,2.60%,0,34.91%
8,career_freq,職業類別頻率,0.094484,2.43%,43,37.33%
9,twd_net_flow,法幣淨流入金額,0.092125,2.37%,0,39.70%
10,tx_interval_mean,交易間隔平均值,0.090327,2.32%,7,42.02%
11,weekend_tx_ratio,週末交易佔比,0.090225,2.32%,11,44.34%
12,swap_count,一鍵買賣次數,0.08288,2.13%,1,46.47%
13,trading_market_order_ratio,市價單比率,0.078964,2.03%,81,48.50%
14,reg_hour,註冊時段,0.078077,2.01%,6,50.50%
15,twd_dep_count,法幣入金次數,0.077913,2.00%,0,52.50%
16,crypto_dep_mean,虛幣入金均值,0.077826,2.00%,7,54.50%
17,tx_interval_min,交易最短間隔,0.075706,1.94%,12,56.45%
18,crypto_dep_count,虛幣入金次數,0.066771,1.72%,12,58.16%
19,ip_unique_count,使用IP數,0.062771,1.61%,152,59.77%
20,crypto_wit_mean,虛幣提領均值,0.062269,1.60%,0,61.37%
