fraud_node_id,source_node_id,source_node_type,path_nodes,path_edges,hop_count,earliest_tx_time,total_amount_twd,source_risk_score,best_causal_node,causal_confidence,causal_scores,validation_ok
user_20323,user_664631,user,"[""user_664631"", ""external_bank"", ""user_20323""]","[{""src"": ""user_664631"", ""dst"": ""external_bank"", ""timestamp"": ""2025-10-05 22:39:25"", ""amount"": 2000000.0, ""type"": ""twd_out"", ""causal_score"": 0.4328}, {""src"": ""external_bank"", ""dst"": ""user_20323"", ""timestamp"": ""2025-10-17 11:57:13"", ""amount"": 145700.0, ""type"": ""twd_in"", ""causal_score"": 0.4327}]",2,2025-10-05 22:39:25,2145700.0,1.0,external_bank,0.2052,"{""user_664631"": 0.18275225162506104, ""external_bank"": 0.25000032782554626, ""user_20323"": 0.1827378273010254}",True
user_23039,wallet_4f0cd88a261363697d83c6f888e55e43,wallet,"[""wallet_4f0cd88a261363697d83c6f888e55e43"", ""user_23039""]","[{""src"": ""wallet_4f0cd88a261363697d83c6f888e55e43"", ""dst"": ""user_23039"", ""timestamp"": ""2025-10-03 08:25:35"", ""amount"": 42108.92, ""type"": ""deposit"", ""causal_score"": 0.6155}]",1,2025-10-03 08:25:35,42108.92,0.0,user_23039,0.3077,"{""wallet_4f0cd88a261363697d83c6f888e55e43"": 0.2500453591346741, ""user_23039"": 0.36542606353759766}",True
user_28555,user_664631,user,"[""user_664631"", ""external_bank"", ""user_28555""]","[{""src"": ""user_664631"", ""dst"": ""external_bank"", ""timestamp"": ""2025-10-05 22:39:25"", ""amount"": 2000000.0, ""type"": ""twd_out"", ""causal_score"": 0.4327}, {""src"": ""external_bank"", ""dst"": ""user_28555"", ""timestamp"": ""2025-10-03 20:18:56"", ""amount"": 17500.0, ""type"": ""twd_in"", ""causal_score"": 0.4327}]",2,2025-10-03 20:18:56,2017500.0,1.0,external_bank,0.2051,"{""user_664631"": 0.18269962072372437, ""external_bank"": 0.250016450881958, ""user_28555"": 0.18268491327762604}",True
user_41613,user_664631,user,"[""user_664631"", ""external_bank"", ""user_41613""]","[{""src"": ""user_664631"", ""dst"": ""external_bank"", ""timestamp"": ""2025-10-05 22:39:25"", ""amount"": 2000000.0, ""type"": ""twd_out"", ""causal_score"": 0.433}, {""src"": ""external_bank"", ""dst"": ""user_41613"", ""timestamp"": ""2025-10-11 21:51:42"", ""amount"": 20000.0, ""type"": ""twd_in"", ""causal_score"": 0.433}]",2,2025-10-05 22:39:25,2020000.0,1.0,external_bank,0.2052,"{""user_664631"": 0.1827160269021988, ""external_bank"": 0.2503039240837097, ""user_41613"": 0.18270274996757507}",True
user_42029,user_664631,user,"[""user_664631"", ""external_bank"", ""user_42029""]","[{""src"": ""user_664631"", ""dst"": ""external_bank"", ""timestamp"": ""2025-10-05 22:39:25"", ""amount"": 2000000.0, ""type"": ""twd_out"", ""causal_score"": 0.4329}, {""src"": ""external_bank"", ""dst"": ""user_42029"", ""timestamp"": ""2025-10-17 08:07:13"", ""amount"": 10000.0, ""type"": ""twd_in"", ""causal_score"": 0.4329}]",2,2025-10-05 22:39:25,2010000.0,1.0,external_bank,0.2052,"{""user_664631"": 0.18274173140525818, ""external_bank"": 0.25015124678611755, ""user_42029"": 0.18272486329078674}",True
user_74015,wallet_ce1761af897b4d9bcf40e0280b452d2d,wallet,"[""wallet_ce1761af897b4d9bcf40e0280b452d2d"", ""user_74015""]","[{""src"": ""wallet_ce1761af897b4d9bcf40e0280b452d2d"", ""dst"": ""user_74015"", ""timestamp"": ""2025-10-02 00:36:15"", ""amount"": 1337324.1, ""type"": ""deposit"", ""causal_score"": 0.6149}]",1,2025-10-02 00:36:15,1337324.1,0.0,user_74015,0.3075,"{""wallet_ce1761af897b4d9bcf40e0280b452d2d"": 0.2500174343585968, ""user_74015"": 0.3649081289768219}",True
user_95398,wallet_e2710604fddcc8d2aea27a77c2f09a24,wallet,"[""wallet_e2710604fddcc8d2aea27a77c2f09a24"", ""user_95398""]","[{""src"": ""wallet_e2710604fddcc8d2aea27a77c2f09a24"", ""dst"": ""user_95398"", ""timestamp"": ""2025-10-14 22:25:26"", ""amount"": 3726759.95, ""type"": ""deposit"", ""causal_score"": 0.6161}]",1,2025-10-14 22:25:26,3726759.95,0.0,user_95398,0.308,"{""wallet_e2710604fddcc8d2aea27a77c2f09a24"": 0.2506078779697418, ""user_95398"": 0.36548131704330444}",True
user_99682,wallet_860f7efa49c8bf9e6f8126b9e101de54,wallet,"[""wallet_860f7efa49c8bf9e6f8126b9e101de54"", ""user_99682""]","[{""src"": ""wallet_860f7efa49c8bf9e6f8126b9e101de54"", ""dst"": ""user_99682"", ""timestamp"": ""2025-10-16 09:45:35"", ""amount"": 72466.16, ""type"": ""deposit"", ""causal_score"": 0.6155}]",1,2025-10-16 09:45:35,72466.16,0.0,user_99682,0.3077,"{""wallet_860f7efa49c8bf9e6f8126b9e101de54"": 0.2501969635486603, ""user_99682"": 0.36530163884162903}",True
user_100622,user_664631,user,"[""user_664631"", ""external_bank"", ""user_100622""]","[{""src"": ""user_664631"", ""dst"": ""external_bank"", ""timestamp"": ""2025-10-05 22:39:25"", ""amount"": 2000000.0, ""type"": ""twd_out"", ""causal_score"": 0.4327}, {""src"": ""external_bank"", ""dst"": ""user_100622"", ""timestamp"": ""2025-10-01 14:39:47"", ""amount"": 985.0, ""type"": ""twd_in"", ""causal_score"": 0.4327}]",2,2025-10-01 14:39:47,2000985.0,1.0,external_bank,0.2051,"{""user_664631"": 0.1826236993074417, ""external_bank"": 0.2500340938568115, ""user_100622"": 0.18268759548664093}",True
user_119706,user_664631,user,"[""user_664631"", ""external_bank"", ""user_119706""]","[{""src"": ""user_664631"", ""dst"": ""external_bank"", ""timestamp"": ""2025-10-05 22:39:25"", ""amount"": 2000000.0, ""type"": ""twd_out"", ""causal_score"": 0.4328}, {""src"": ""external_bank"", ""dst"": ""user_119706"", ""timestamp"": ""2025-10-04 20:37:45"", ""amount"": 100000.0, ""type"": ""twd_in"", ""causal_score"": 0.4328}]",2,2025-10-04 20:37:45,2100000.0,1.0,external_bank,0.2052,"{""user_664631"": 0.1827387809753418, ""external_bank"": 0.25003963708877563, ""user_119706"": 0.1827186942100525}",True
