fraud_node_id,source_node_id,source_node_type,path_nodes,path_edges,hop_count,earliest_tx_time,total_amount_twd,source_risk_score,best_causal_node,causal_confidence,causal_scores,validation_ok
user_31428,wallet_8697017e4d216c96709bce6cd1f1b73a,wallet,"[""wallet_8697017e4d216c96709bce6cd1f1b73a"", ""user_31428""]","[{""src"": ""wallet_8697017e4d216c96709bce6cd1f1b73a"", ""dst"": ""user_31428"", ""timestamp"": ""2025-10-22 05:26:15"", ""amount"": 182970.29, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-22 05:26:15,182970.29,0.0,wallet_8697017e4d216c96709bce6cd1f1b73a,0.0,"{""wallet_8697017e4d216c96709bce6cd1f1b73a"": 0.0, ""user_31428"": 0.0}",True
user_386221,wallet_ec7d3f865bd4e87bf6bd6410c1f501a6,wallet,"[""wallet_ec7d3f865bd4e87bf6bd6410c1f501a6"", ""user_386221""]","[{""src"": ""wallet_ec7d3f865bd4e87bf6bd6410c1f501a6"", ""dst"": ""user_386221"", ""timestamp"": ""2025-10-07 16:56:25"", ""amount"": 1951.02, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-07 16:56:25,1951.02,0.0,wallet_ec7d3f865bd4e87bf6bd6410c1f501a6,0.0,"{""wallet_ec7d3f865bd4e87bf6bd6410c1f501a6"": 0.0, ""user_386221"": 0.0}",True
user_605045,user_982513,user,"[""user_982513"", ""wallet_61001db53b39788b6255cc8e34a7f90e"", ""user_605045""]","[{""src"": ""user_982513"", ""dst"": ""wallet_61001db53b39788b6255cc8e34a7f90e"", ""timestamp"": ""2025-10-15 19:52:25"", ""amount"": 2988.05, ""type"": ""withdrawal"", ""causal_score"": 0.0, ""phi_src"": 0.0029, ""phi_dst"": 0.0056}, {""src"": ""wallet_61001db53b39788b6255cc8e34a7f90e"", ""dst"": ""user_605045"", ""timestamp"": ""2025-10-10 20:57:35"", ""amount"": 304.77, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0056, ""phi_dst"": 0.0}]",2,2025-10-10 20:57:35,3292.82,0.0,user_982513,0.0033,"{""user_982513"": 0.002943703904747963, ""wallet_61001db53b39788b6255cc8e34a7f90e"": 0.005620880052447319, ""user_605045"": 0.0}",True
user_670848,wallet_30eadea0cb82bd52b65dfd196ac02715,wallet,"[""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""user_670848""]","[{""src"": ""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""dst"": ""user_670848"", ""timestamp"": ""2025-10-02 12:30:25"", ""amount"": 10.44, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-02 12:30:25,10.44,0.0,wallet_30eadea0cb82bd52b65dfd196ac02715,0.0,"{""wallet_30eadea0cb82bd52b65dfd196ac02715"": 0.0, ""user_670848"": 0.0}",True
user_713240,wallet_30eadea0cb82bd52b65dfd196ac02715,wallet,"[""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""user_713240""]","[{""src"": ""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""dst"": ""user_713240"", ""timestamp"": ""2025-10-01 11:46:16"", ""amount"": 10.44, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-01 11:46:16,10.44,0.0,wallet_30eadea0cb82bd52b65dfd196ac02715,0.0,"{""wallet_30eadea0cb82bd52b65dfd196ac02715"": 0.0, ""user_713240"": 0.0}",True
user_754045,wallet_30eadea0cb82bd52b65dfd196ac02715,wallet,"[""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""user_754045""]","[{""src"": ""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""dst"": ""user_754045"", ""timestamp"": ""2025-10-20 13:56:44"", ""amount"": 10.08, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-20 13:56:44,10.08,0.0,wallet_30eadea0cb82bd52b65dfd196ac02715,0.0,"{""wallet_30eadea0cb82bd52b65dfd196ac02715"": 0.0, ""user_754045"": 0.0}",True
user_789628,wallet_30eadea0cb82bd52b65dfd196ac02715,wallet,"[""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""user_789628""]","[{""src"": ""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""dst"": ""user_789628"", ""timestamp"": ""2025-10-20 13:56:00"", ""amount"": 10.08, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-20 13:56:00,10.08,0.0,wallet_30eadea0cb82bd52b65dfd196ac02715,0.0,"{""wallet_30eadea0cb82bd52b65dfd196ac02715"": 0.0, ""user_789628"": 0.0}",True
user_797574,wallet_30eadea0cb82bd52b65dfd196ac02715,wallet,"[""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""user_797574""]","[{""src"": ""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""dst"": ""user_797574"", ""timestamp"": ""2025-10-21 19:16:46"", ""amount"": 10.08, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-21 19:16:46,10.08,0.0,wallet_30eadea0cb82bd52b65dfd196ac02715,0.0,"{""wallet_30eadea0cb82bd52b65dfd196ac02715"": 0.0, ""user_797574"": 0.0}",True
user_804108,user_946969,user,"[""user_946969"", ""wallet_4e7a09fd964e66d4cfb70f06d8944191"", ""user_236076"", ""wallet_e26acd9452b14d0e131df3bd6228de2c"", ""user_807068"", ""wallet_3331f37778bb96932d5ddb18f1b0c688"", ""user_801259"", ""user_804108""]","[{""src"": ""user_946969"", ""dst"": ""wallet_4e7a09fd964e66d4cfb70f06d8944191"", ""timestamp"": ""2025-10-17 16:11:28"", ""amount"": 100809.05, ""type"": ""withdrawal"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}, {""src"": ""wallet_4e7a09fd964e66d4cfb70f06d8944191"", ""dst"": ""user_236076"", ""timestamp"": ""2025-10-12 01:59:15"", ""amount"": 15556.04, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0026}, {""src"": ""user_236076"", ""dst"": ""wallet_e26acd9452b14d0e131df3bd6228de2c"", ""timestamp"": ""2025-10-02 00:50:24"", ""amount"": 10425.24, ""type"": ""withdrawal"", ""causal_score"": 0.0, ""phi_src"": 0.0026, ""phi_dst"": 0.0002}, {""src"": ""wallet_e26acd9452b14d0e131df3bd6228de2c"", ""dst"": ""user_807068"", ""timestamp"": ""2025-10-06 00:12:05"", ""amount"": 5032.5, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0002, ""phi_dst"": 0.0}, {""src"": ""user_807068"", ""dst"": ""wallet_3331f37778bb96932d5ddb18f1b0c688"", ""timestamp"": ""2025-10-07 22:29:56"", ""amount"": 5252.61, ""type"": ""withdrawal"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0026}, {""src"": ""wallet_3331f37778bb96932d5ddb18f1b0c688"", ""dst"": ""user_801259"", ""timestamp"": ""2025-10-01 14:42:35"", ""amount"": 34497.92, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0026, ""phi_dst"": 0.0012}, {""src"": ""user_801259"", ""dst"": ""user_804108"", ""timestamp"": ""2025-10-19 18:48:15"", ""amount"": 19730.56, ""type"": ""internal"", ""causal_score"": 0.0, ""phi_src"": 0.0012, ""phi_dst"": 0.0002}]",7,2025-10-01 14:42:35,191303.92,0.941,wallet_3331f37778bb96932d5ddb18f1b0c688,0.0022,"{""user_946969"": 0.0, ""wallet_4e7a09fd964e66d4cfb70f06d8944191"": 0.0, ""user_236076"": 0.002552515361458063, ""wallet_e26acd9452b14d0e131df3bd6228de2c"": 0.0002247157972306013, ""user_807068"": 0.0, ""wallet_3331f37778bb96932d5ddb18f1b0c688"": 0.0025564911775290966, ""user_801259"": 0.001170328352600336, ""user_804108"": 0.0002270340919494629}",True
user_804374,wallet_30eadea0cb82bd52b65dfd196ac02715,wallet,"[""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""user_804374""]","[{""src"": ""wallet_30eadea0cb82bd52b65dfd196ac02715"", ""dst"": ""user_804374"", ""timestamp"": ""2025-10-05 14:51:31"", ""amount"": 10.59, ""type"": ""deposit"", ""causal_score"": 0.0, ""phi_src"": 0.0, ""phi_dst"": 0.0}]",1,2025-10-05 14:51:31,10.59,0.0,wallet_30eadea0cb82bd52b65dfd196ac02715,0.0,"{""wallet_30eadea0cb82bd52b65dfd196ac02715"": 0.0, ""user_804374"": 0.0}",True
