id,user_id,updated_at,is_buy,trade_samount,twd_srate,source_ip_hash,is_market,source
11,8305,2025-10-01T16:14:12,1,170157060000,3056000000,fb13381a4a171b39fe00a8e0d3ad95aa,0,1
68,76782,2025-10-01T07:52:03,0,6680000000,3058900000,95f7bee4486b1c3842115b4870df620a,0,1
69,83493,2025-10-01T14:38:28,1,101419878296,3056600000,99b2f408d5c3b7e51f4ae2411e3e1316,1,1
73,95628,2025-10-01T22:49:39,1,65588920000,3049600000,7b53afbf6338d0610395a3bdf9d273d0,0,1
81,104619,2025-10-01T02:04:58,0,61894530000,3062200000,7294a4e75583683a9b778f7827cecada,0,1
110,149247,2025-10-01T12:29:59,0,19320650000,3059200000,83bf65ac2381268161334a1a7b0f6d5c,0,1
115,173159,2025-10-01T15:45:22,1,10141320000,3056700000,b4c21e0384eef27d91b1b4a5afc91466,0,1
118,173917,2025-10-01T09:17:39,1,134883260000,3057700000,f79a6c20012a8077e3fd34c0c31973bc,0,1
121,183501,2025-10-01T18:46:04,1,9834130000,3050600000,f5b6480d27259532595d3f57365d222c,0,1
122,188993,2025-10-01T13:40:17,0,100100000000,3059000000,e8afd892daced4d5731017c41d7f6ef3,0,1
126,199281,2025-10-01T07:39:06,1,3269362801,3058700000,afb4cb7f81f596c8e53ad5af77bae067,1,1
152,321276,2025-10-01T18:29:16,0,151000000000,3049200000,392c08b64550f44ab5d35aad634bfac8,0,1
155,327820,2025-10-01T00:46:23,1,163355980000,3060800000,d44e0e572aee43071eebeb65a243f25a,0,1
156,327820,2025-10-01T00:53:25,1,163350640000,3060900000,d44e0e572aee43071eebeb65a243f25a,0,1
157,328561,2025-10-01T11:59:16,1,163473484600,3058600000,d0cf183d931e9832d8bd076e56490562,1,1
158,334213,2025-10-01T07:52:15,0,10033410000,3058900000,bdcf17f57d19ed23294e00b50fbb75fd,1,1
160,343078,2025-10-01T19:00:10,1,3277721328,3051000000,9f247096e2dbb5027210e27b58583820,1,1
163,358342,2025-10-01T11:21:13,1,3270752920000,3057500000,885a819e57fe41d232a30ec041fd7dc1,0,1
167,364731,2025-10-01T23:53:28,1,3279220000,3049500000,fda140a73bffbe561a03ea7a5b19a612,0,1
170,381741,2025-10-01T06:43:52,0,11400000000,3057400000,8712f93f516c1740fcaea31fb9821dbe,1,1
171,381741,2025-10-01T09:45:32,0,350000000000,3056900000,77e91aa697b3ce4ae42a0126f2a1a657,1,1
173,387896,2025-10-01T22:10:47,1,1639820000,3049100000,35573e7c890b4b06a34681ae2a299561,0,1
175,407061,2025-10-01T16:51:08,1,1146713845,3052000000,8c0f50dc0df0c9075766cb17bbf69070,1,1
176,407397,2025-10-01T16:52:32,1,3342720000,3051400000,1aa6fe3ae3b6fdec11fa9ae792d9d490,0,1
181,416772,2025-10-01T00:36:05,1,9803920000,3060000000,25ea57a25e8582bc02bf1e3c3ab2792a,0,1
208,506881,2025-10-01T12:50:05,0,20516760000,3057800000,faa3d0424388b0f607fc62bafdb1d0cd,0,1
215,541320,2025-10-01T03:51:55,1,330000000000,3060900000,60dde9c787b321268f775fa541b4901b,0,1
229,556387,2025-10-01T22:01:34,1,19676640000,3049300000,ff80db51bab7d452ea24002c571c3bbb,0,1
236,579522,2025-10-01T16:30:19,1,6558710000,3056000000,4fb0a8757670a31c4e1e37ff1b6cba50,0,1
237,580394,2025-10-01T20:14:10,0,35995360000,3050000000,70ebd13878a326a9097b72abc6f35076,0,1
242,591015,2025-10-01T04:21:18,1,130787000000,3058400000,df1879f4ffddcb8e9f1fcce1fccb7ae7,0,0
243,592579,2025-10-01T23:59:08,1,19710730000,3049100000,263894e192e164c5d9421dd8eca25f43,0,1
244,593691,2025-10-01T19:29:49,1,21000000000,3051200000,66e31176fe83ea348c35f490286d649a,0,1
