排名,feature,中文名稱,SHAP值,SHAP均值,方向,佔比,頻率次數,累積%
1,swap_sum,swap_sum,0.243831,-0.016789,-,5.80%,176,5.80%
2,tx_interval_median,tx_interval_median,0.236008,-0.051335,-,5.62%,176,11.42%
3,account_age_days,account_age_days,0.233691,-0.028521,-,5.56%,176,16.98%
4,crypto_wit_sum,crypto_wit_sum,0.2263,0.018933,+,5.39%,176,22.37%
5,ip_night_ratio,ip_night_ratio,0.123047,0.005822,+,2.93%,176,25.29%
6,weekend_tx_ratio,weekend_tx_ratio,0.114239,-0.012148,-,2.72%,176,28.01%
7,career_freq,career_freq,0.105356,-0.000347,-,2.51%,176,30.52%
8,twd_net_flow,twd_net_flow,0.103767,-0.02267,-,2.47%,176,32.99%
9,tx_interval_mean,tx_interval_mean,0.100834,-0.028808,-,2.40%,176,35.39%
10,twd_dep_sum,twd_dep_sum,0.094986,-0.002445,-,2.26%,176,37.65%
11,reg_hour,reg_hour,0.093476,-0.02352,-,2.22%,176,39.87%
12,crypto_dep_mean,crypto_dep_mean,0.092946,-0.021517,-,2.21%,176,42.09%
13,tx_interval_min,tx_interval_min,0.089746,-0.031643,-,2.14%,176,44.22%
14,swap_count,swap_count,0.076307,-0.002619,-,1.82%,176,46.04%
15,crypto_dep_max,crypto_dep_max,0.075154,-0.01881,-,1.79%,176,47.83%
16,kyc_speed_sec,kyc_speed_sec,0.074497,-0.042783,-,1.77%,176,49.60%
17,crypto_wit_max,crypto_wit_max,0.074465,-0.010621,-,1.77%,176,51.37%
18,ip_unique_count,ip_unique_count,0.073048,0.004182,+,1.74%,176,53.11%
19,twd_dep_count,twd_dep_count,0.071606,-0.023233,-,1.70%,176,54.81%
20,crypto_wit_mean,crypto_wit_mean,0.070182,-0.028649,-,1.67%,176,56.48%
21,crypto_dep_count,crypto_dep_count,0.068962,0.005729,+,1.64%,176,58.13%
22,is_app_user,is_app_user,0.068663,-0.003535,-,1.63%,176,59.76%
23,twd_to_crypto_out_ratio,twd_to_crypto_out_ratio,0.068069,-0.025812,-,1.62%,176,61.38%
24,total_tx_count,total_tx_count,0.067784,-0.013771,-,1.61%,176,62.99%
25,trading_market_order_ratio,trading_market_order_ratio,0.066563,-0.00668,-,1.58%,176,64.58%
26,if_score,if_score,0.05976,-0.023053,-,1.42%,176,66.00%
27,trading_buy_ratio,trading_buy_ratio,0.054102,-0.007692,-,1.29%,176,67.29%
28,twd_wit_max,twd_wit_max,0.052624,-0.002514,-,1.25%,176,68.54%
29,tx_interval_std,tx_interval_std,0.052583,-0.023184,-,1.25%,176,69.79%
30,trading_max,trading_max,0.049821,-0.009174,-,1.19%,176,70.98%
