排名,feature,中文名稱,SHAP值,SHAP均值,方向,佔比,頻率次數,累積%
1,swap_sum,swap_sum,0.398437,0.308831,+,9.94%,371,9.94%
2,crypto_wit_sum,crypto_wit_sum,0.318589,0.270556,+,7.95%,371,17.89%
3,account_age_days,account_age_days,0.180623,0.13443,+,4.51%,371,22.40%
4,tx_interval_median,tx_interval_median,0.174278,0.039148,+,4.35%,371,26.75%
5,twd_dep_sum,twd_dep_sum,0.144715,0.12978,+,3.61%,371,30.36%
6,ip_night_ratio,ip_night_ratio,0.118738,0.029135,+,2.96%,371,33.33%
7,ip_unique_count,ip_unique_count,0.103872,0.063801,+,2.59%,371,35.92%
8,crypto_wit_max,crypto_wit_max,0.10342,0.076589,+,2.58%,371,38.50%
9,tx_interval_mean,tx_interval_mean,0.098704,0.025559,+,2.46%,371,40.96%
10,twd_dep_count,twd_dep_count,0.093019,0.018635,+,2.32%,371,43.28%
11,twd_net_flow,twd_net_flow,0.086548,0.049777,+,2.16%,371,45.44%
12,weekend_tx_ratio,weekend_tx_ratio,0.084051,0.000703,+,2.10%,371,47.54%
13,swap_count,swap_count,0.082891,0.05328,+,2.07%,371,49.61%
14,tx_interval_min,tx_interval_min,0.081617,-0.022864,-,2.04%,371,51.65%
15,reg_hour,reg_hour,0.080459,0.020088,+,2.01%,371,53.65%
16,career_freq,career_freq,0.078773,0.024999,+,1.97%,371,55.62%
17,crypto_dep_mean,crypto_dep_mean,0.078737,0.030836,+,1.96%,371,57.58%
18,crypto_wit_mean,crypto_wit_mean,0.072686,0.031618,+,1.81%,371,59.40%
19,twd_to_crypto_out_ratio,twd_to_crypto_out_ratio,0.06484,0.014109,+,1.62%,371,61.02%
20,crypto_dep_max,crypto_dep_max,0.064244,0.022495,+,1.60%,371,62.62%
21,twd_dep_std,twd_dep_std,0.062411,0.020774,+,1.56%,371,64.18%
22,trading_market_order_ratio,trading_market_order_ratio,0.061668,-0.016566,-,1.54%,371,65.72%
23,tx_interval_std,tx_interval_std,0.058481,0.001929,+,1.46%,371,67.18%
24,is_app_user,is_app_user,0.058267,0.027876,+,1.45%,371,68.63%
25,total_tx_count,total_tx_count,0.055925,0.011777,+,1.40%,371,70.02%
26,trading_max,trading_max,0.054603,0.036489,+,1.36%,371,71.39%
27,trading_buy_ratio,trading_buy_ratio,0.0546,0.03046,+,1.36%,371,72.75%
28,crypto_dep_count,crypto_dep_count,0.053697,0.012181,+,1.34%,371,74.09%
29,lof_score,lof_score,0.051396,-0.024188,-,1.28%,371,75.37%
