排名,feature,中文名稱,SHAP值,SHAP均值,方向,佔比,頻率次數,累積%
1,tx_interval_median,tx_interval_median,0.247079,-0.11778,-,5.73%,63770,5.73%
2,swap_sum,swap_sum,0.246455,-0.122537,-,5.72%,63770,11.45%
3,account_age_days,account_age_days,0.234882,-0.103155,-,5.45%,63770,16.89%
4,crypto_wit_sum,crypto_wit_sum,0.216545,-0.092403,-,5.02%,63770,21.92%
5,weekend_tx_ratio,weekend_tx_ratio,0.158007,-0.045807,-,3.66%,63770,25.58%
6,ip_night_ratio,ip_night_ratio,0.136134,-0.037254,-,3.16%,63770,28.74%
7,career_freq,career_freq,0.133313,-0.041282,-,3.09%,63770,31.83%
8,twd_net_flow,twd_net_flow,0.132633,-0.070259,-,3.08%,63770,34.91%
9,tx_interval_mean,tx_interval_mean,0.11867,-0.073426,-,2.75%,63770,37.66%
10,reg_hour,reg_hour,0.105988,-0.040052,-,2.46%,63770,40.12%
11,tx_interval_min,tx_interval_min,0.094577,-0.055275,-,2.19%,63770,42.31%
12,twd_dep_sum,twd_dep_sum,0.093728,-0.039444,-,2.17%,63770,44.48%
13,crypto_dep_mean,crypto_dep_mean,0.088948,-0.00906,-,2.06%,63770,46.55%
14,is_app_user,is_app_user,0.083461,-0.023948,-,1.94%,63770,48.48%
15,crypto_wit_max,crypto_wit_max,0.079736,-0.042972,-,1.85%,63770,50.33%
16,crypto_wit_mean,crypto_wit_mean,0.075628,-0.049609,-,1.75%,63770,52.09%
17,swap_count,swap_count,0.073845,-0.030693,-,1.71%,63770,53.80%
18,crypto_dep_count,crypto_dep_count,0.073223,-0.039239,-,1.70%,63770,55.50%
19,twd_to_crypto_out_ratio,twd_to_crypto_out_ratio,0.070291,-0.038138,-,1.63%,63770,57.13%
20,crypto_dep_max,crypto_dep_max,0.070279,-0.009735,-,1.63%,63770,58.76%
21,ip_unique_count,ip_unique_count,0.066274,-0.030659,-,1.54%,63770,60.29%
22,trading_market_order_ratio,trading_market_order_ratio,0.064811,-0.010465,-,1.50%,63770,61.80%
23,total_tx_count,total_tx_count,0.064645,-0.036869,-,1.50%,63770,63.30%
24,kyc_speed_sec,kyc_speed_sec,0.064366,-0.033734,-,1.49%,63770,64.79%
25,twd_dep_count,twd_dep_count,0.059679,-0.033646,-,1.38%,63770,66.17%
26,if_score,if_score,0.058542,-0.036855,-,1.36%,63770,67.53%
27,tx_interval_std,tx_interval_std,0.056036,-0.030149,-,1.30%,63770,68.83%
28,trading_buy_ratio,trading_buy_ratio,0.054879,-0.015662,-,1.27%,63770,70.10%
29,lof_score,lof_score,0.054831,-0.028156,-,1.27%,63770,71.38%
30,trading_max,trading_max,0.054269,-0.022978,-,1.26%,63770,72.63%
31,gnn_emb_5,gnn_emb_5,0.053801,-0.039922,-,1.25%,63770,73.88%
32,twd_wit_max,twd_wit_max,0.047727,-0.019497,-,1.11%,63770,74.99%
33,tx_amount_cv,tx_amount_cv,0.043309,-0.028025,-,1.00%,63770,75.99%
34,twd_dep_std,twd_dep_std,0.042794,-0.023884,-,0.99%,63770,76.99%
35,gnn_emb_6,gnn_emb_6,0.041854,-0.029121,-,0.97%,63770,77.96%
36,trading_mean,trading_mean,0.041782,-0.029724,-,0.97%,63770,78.93%
37,gnn_emb_13,gnn_emb_13,0.041246,-0.021884,-,0.96%,63770,79.88%
38,gnn_emb_10,gnn_emb_10,0.040247,-0.033553,-,0.93%,63770,80.82%
39,gnn_emb_4,gnn_emb_4,0.039622,-0.028824,-,0.92%,63770,81.73%
40,amount_p90_p10_ratio,amount_p90_p10_ratio,0.038644,-0.028742,-,0.90%,63770,82.63%
41,hbos_score,hbos_score,0.037631,-0.026749,-,0.87%,63770,83.50%
42,gnn_emb_3,gnn_emb_3,0.037267,-0.032297,-,0.86%,63770,84.37%
43,gnn_emb_9,gnn_emb_9,0.037076,-0.031511,-,0.86%,63770,85.23%
44,gnn_emb_12,gnn_emb_12,0.036857,-0.020306,-,0.85%,63770,86.08%
45,gnn_emb_8,gnn_emb_8,0.033869,-0.024371,-,0.79%,63770,86.87%
46,gnn_emb_11,gnn_emb_11,0.033117,-0.024271,-,0.77%,63770,87.64%
47,gnn_emb_1,gnn_emb_1,0.031991,-0.015637,-,0.74%,63770,88.38%
48,gnn_emb_15,gnn_emb_15,0.031971,-0.026142,-,0.74%,63770,89.12%
49,twd_dep_mean,twd_dep_mean,0.031158,-0.020785,-,0.72%,63770,89.84%
50,first_to_last_tx_days,first_to_last_tx_days,0.030044,-0.012662,-,0.70%,63770,90.54%
51,gnn_emb_2,gnn_emb_2,0.028314,-0.021388,-,0.66%,63770,91.20%
52,crypto_wallet_hash_nunique,crypto_wallet_hash_nunique,0.027614,-0.014993,-,0.64%,63770,91.84%
53,fund_stay_sec,fund_stay_sec,0.02687,-0.013234,-,0.62%,63770,92.46%
54,reg_is_weekend,reg_is_weekend,0.026516,-0.004601,-,0.61%,63770,93.07%
55,gnn_emb_14,gnn_emb_14,0.02633,-0.022289,-,0.61%,63770,93.69%
56,ip_max_shared,ip_max_shared,0.025571,-0.010153,-,0.59%,63770,94.28%
