排名,feature,中文名稱,SHAP值,SHAP均值,方向,佔比,頻率次數,累積%
1,swap_sum,swap_sum,0.449813,0.35446,+,10.65%,152,10.65%
2,crypto_wit_sum,crypto_wit_sum,0.384476,0.347705,+,9.11%,152,19.76%
3,account_age_days,account_age_days,0.20707,0.14303,+,4.90%,152,24.66%
4,tx_interval_median,tx_interval_median,0.175434,0.06192,+,4.15%,152,28.82%
5,twd_dep_sum,twd_dep_sum,0.172492,0.162849,+,4.09%,152,32.90%
6,ip_night_ratio,ip_night_ratio,0.114957,0.035737,+,2.72%,152,35.62%
7,crypto_wit_max,crypto_wit_max,0.11453,0.097378,+,2.71%,152,38.34%
8,twd_dep_count,twd_dep_count,0.109741,0.059253,+,2.60%,152,40.94%
9,tx_interval_mean,tx_interval_mean,0.103552,0.06275,+,2.45%,152,43.39%
10,career_freq,career_freq,0.094178,0.012546,+,2.23%,152,45.62%
11,swap_count,swap_count,0.090555,0.06068,+,2.14%,152,47.76%
12,trading_market_order_ratio,trading_market_order_ratio,0.087677,0.013444,+,2.08%,152,49.84%
13,tx_interval_min,tx_interval_min,0.084183,-0.013704,-,1.99%,152,51.83%
14,weekend_tx_ratio,weekend_tx_ratio,0.083632,0.008786,+,1.98%,152,53.81%
15,twd_net_flow,twd_net_flow,0.082255,0.05131,+,1.95%,152,55.76%
16,reg_hour,reg_hour,0.076804,0.008545,+,1.82%,152,57.58%
17,crypto_wit_mean,crypto_wit_mean,0.076471,0.047857,+,1.81%,152,59.39%
18,crypto_dep_mean,crypto_dep_mean,0.0753,0.026055,+,1.78%,152,61.18%
19,twd_to_crypto_out_ratio,twd_to_crypto_out_ratio,0.071203,0.036905,+,1.69%,152,62.86%
20,twd_dep_std,twd_dep_std,0.065517,0.047203,+,1.55%,152,64.41%
21,is_app_user,is_app_user,0.065043,0.021557,+,1.54%,152,65.95%
22,twd_wit_max,twd_wit_max,0.061236,0.018292,+,1.45%,152,67.40%
23,total_tx_count,total_tx_count,0.061096,0.031332,+,1.45%,152,68.85%
24,trading_buy_ratio,trading_buy_ratio,0.060912,0.027126,+,1.44%,152,70.29%
25,tx_interval_std,tx_interval_std,0.060643,0.011489,+,1.44%,152,71.73%
26,crypto_dep_max,crypto_dep_max,0.057733,0.020146,+,1.37%,152,73.10%
27,trading_max,trading_max,0.052505,0.028507,+,1.24%,152,74.34%
28,kyc_speed_sec,kyc_speed_sec,0.044129,-0.019576,-,1.05%,152,75.39%
29,lof_score,lof_score,0.044,-0.008463,-,1.04%,152,76.43%
30,gnn_emb_12,gnn_emb_12,0.043964,-0.017971,-,1.04%,152,77.47%
31,ip_unique_count,ip_unique_count,0.043962,-0.006751,-,1.04%,152,78.51%
32,if_score,if_score,0.043723,-0.001093,-,1.04%,152,79.55%
33,crypto_dep_count,crypto_dep_count,0.042365,-0.016246,-,1.00%,152,80.55%
34,gnn_emb_1,gnn_emb_1,0.041585,-0.02801,-,0.98%,152,81.53%
35,gnn_emb_2,gnn_emb_2,0.038523,-0.025768,-,0.91%,152,82.45%
36,gnn_emb_8,gnn_emb_8,0.03615,-0.016477,-,0.86%,152,83.30%
37,gnn_emb_5,gnn_emb_5,0.035733,-0.006541,-,0.85%,152,84.15%
38,amount_p90_p10_ratio,amount_p90_p10_ratio,0.033275,-0.020896,-,0.79%,152,84.94%
39,gnn_emb_6,gnn_emb_6,0.032745,0.00336,+,0.78%,152,85.71%
40,gnn_emb_13,gnn_emb_13,0.032614,-0.024045,-,0.77%,152,86.48%
41,first_to_last_tx_days,first_to_last_tx_days,0.032107,-0.008533,-,0.76%,152,87.24%
42,gnn_emb_15,gnn_emb_15,0.030599,-0.014437,-,0.72%,152,87.97%
43,fund_stay_sec,fund_stay_sec,0.029841,0.00531,+,0.71%,152,88.68%
44,gnn_emb_10,gnn_emb_10,0.02926,-0.01384,-,0.69%,152,89.37%
45,gnn_emb_9,gnn_emb_9,0.027212,-0.013735,-,0.64%,152,90.01%
46,gnn_emb_11,gnn_emb_11,0.026691,-0.019391,-,0.63%,152,90.65%
47,gnn_emb_4,gnn_emb_4,0.026091,-0.0143,-,0.62%,152,91.26%
48,gnn_emb_7,gnn_emb_7,0.026088,-0.023167,-,0.62%,152,91.88%
49,twd_dep_mean,twd_dep_mean,0.026064,0.009084,+,0.62%,152,92.50%
50,crypto_wallet_hash_nunique,crypto_wallet_hash_nunique,0.025478,-0.002493,-,0.60%,152,93.10%
51,hbos_score,hbos_score,0.022565,-0.013703,-,0.53%,152,93.64%
52,crypto_wit_count,crypto_wit_count,0.021469,0.003479,+,0.51%,152,94.14%
53,gnn_emb_3,gnn_emb_3,0.019072,-0.013451,-,0.45%,152,94.60%
54,tx_amount_cv,tx_amount_cv,0.019068,-0.011962,-,0.45%,152,95.05%
55,trading_mean,trading_mean,0.018879,0.00912,+,0.45%,152,95.49%
56,gnn_emb_14,gnn_emb_14,0.018768,-0.014288,-,0.44%,152,95.94%
57,gnn_emb_0,gnn_emb_0,0.016624,-0.009502,-,0.39%,152,96.33%
58,twd_withdraw_ratio,twd_withdraw_ratio,0.016579,0.003778,+,0.39%,152,96.73%
59,ip_max_shared,ip_max_shared,0.014755,0.00049,+,0.35%,152,97.08%
60,dep_to_first_wit_hours,dep_to_first_wit_hours,0.013931,-0.000725,-,0.33%,152,97.41%
61,active_days,active_days,0.01353,-0.004013,-,0.32%,152,97.73%
62,reg_is_weekend,reg_is_weekend,0.012958,-0.007275,-,0.31%,152,98.03%
63,crypto_out_in_ratio,crypto_out_in_ratio,0.012788,-0.011439,-,0.30%,152,98.34%
64,is_high_risk_career,is_high_risk_career,0.009994,-0.001196,-,0.24%,152,98.57%
65,is_high_risk_income,is_high_risk_income,0.00905,-0.00045,-,0.21%,152,98.79%
