iter	Logloss
0	0.5918781752
1	0.5390630144
2	0.5048996363
3	0.4702017012
4	0.441888747
5	0.4190238204
6	0.4024708295
7	0.3873101695
8	0.3690544329
9	0.3566809453
10	0.3483296198
11	0.3415082027
12	0.3336326533
13	0.3270638825
14	0.3219770679
15	0.3185374947
16	0.3113747318
17	0.3050384198
18	0.2971102764
19	0.2886694079
20	0.2855058585
21	0.2826900963
22	0.2803735738
23	0.2770924862
24	0.2746924816
25	0.2717142727
26	0.2691159639
27	0.2664066149
28	0.264240778
29	0.262310305
30	0.2598543576
31	0.2573218961
32	0.2551844659
33	0.2541034544
34	0.2525422186
35	0.2495370711
36	0.247818289
37	0.2470830473
38	0.2442136176
39	0.2416126817
40	0.2406282475
41	0.2384673329
42	0.2362053864
43	0.2331105913
44	0.2311169596
45	0.2291813836
46	0.2274301278
47	0.2261159662
48	0.223618588
49	0.2219210129
50	0.2209220896
51	0.2188638473
52	0.2168395979
53	0.2152223336
54	0.2129734592
55	0.2112370051
56	0.2089855433
57	0.2072558678
58	0.2054038902
59	0.2048764415
60	0.2029240943
61	0.2007759907
62	0.1985689735
63	0.1968788657
64	0.1954418968
65	0.1938598834
66	0.1922138232
67	0.1906790083
68	0.1885661472
69	0.187265002
70	0.1863153194
71	0.1847998947
72	0.1828835951
73	0.1813721783
74	0.1795439906
75	0.1785714375
76	0.1774194937
77	0.1761468151
78	0.1748105152
79	0.1729448079
80	0.1716961934
