iter	Passed	Remaining
0	5	3684
1	10	3374
2	15	3317
3	20	3266
4	26	3332
5	31	3321
6	37	3332
7	42	3337
8	48	3359
9	54	3355
10	59	3345
11	65	3372
12	71	3386
13	77	3396
14	82	3386
15	88	3371
16	93	3359
17	99	3384
18	105	3373
19	110	3367
20	116	3373
21	121	3363
22	128	3376
23	133	3373
24	139	3381
25	145	3368
26	151	3369
27	157	3383
28	162	3371
29	169	3375
30	176	3404
31	182	3397
32	187	3383
33	192	3366
34	198	3364
35	203	3351
36	209	3348
37	214	3338
38	220	3332
39	225	3323
40	230	3311
41	236	3300
42	241	3295
43	247	3290
44	253	3283
45	257	3269
46	262	3254
47	268	3244
48	273	3237
49	278	3229
50	283	3218
51	289	3214
52	294	3205
53	300	3197
54	306	3200
55	312	3199
56	318	3192
57	323	3181
58	328	3171
59	332	3156
60	337	3146
61	343	3143
62	348	3134
63	353	3125
64	358	3113
65	363	3100
66	368	3091
67	373	3080
68	378	3074
69	383	3066
70	388	3055
71	393	3045
72	398	3037
73	403	3029
74	409	3021
75	413	3011
76	418	3002
77	423	2994
78	429	2990
79	434	2981
80	440	2978
